,bidder_id,min_time_interval,avg_time_interval,device_score,url_score,url_num,merchandise_score,merchandise_num,country_score,device_num,ip_num,country_num,total_bids,avg_bid_num,outcome
10,01a39439e7afbdcfe385eedbddb23d76zgdrg,105263158.0,2.98269254217e+11,18.7329007582,27.417066608,49,45.7513456337,1,31.5873882898,94,216,26,260,1.98473282443,0.0
11,01c1c7be49cd6cfbb9075925a05c9899p41va,2.47773684210e+12,2.47773684210e+12,0.44304371745,0.378166435973,1,0.393812557492,1,0.205475530228,2,2,2,2,1.0,0.0
12,01c5692d487454cdbe731df330bef608f48zz,52631579.0,8.98952566602e+11,6.71129919782,8.69782802737,28,8.1182259546,1,2.10894137348,41,44,5,82,4.31578947368,0.0
13,01cda526658455000913950f20cf31a2q6nsf,684210526.0,1.62436905517e+11,2.97378352852,8.13057837341,33,3.852053035,1,10.9552720055,45,57,6,84,3.81818181818,0.0
14,01eb9dcbd0b3e79d94020d13d83a993ec9d2a,2.69173684210e+12,2.85631578947e+12,0.162064749311,0.378166435973,2,0.527900141928,1,0.363095654953,3,3,2,3,1.5,0.0
15,01f498a0992d280de63ec346692efb2blckg2,1e+30,1e+30,0.070914696814,0.0,1,0.0625928956448,1,0.133800886265,1,1,1,1,1.0,0.0
16,02030ec48b7179a7fd9950fdf546e3feekkye,3421052631.0,8.46894736842e+11,0.0956739578686,0.0,4,0.98453139373,1,0.430158750595,2,4,1,5,2.5,0.0
17,022ac3a7ce986049d9a4bede83ccf9ddctvg6,0.0,6193222782.98,976.798616377,1432.72285034,2,87.0839132556,1,831.160462466,18,32,7,1899,22.3411764706,1.0
18,024937af9ea18a2b57e4f08762d181f7s8a3z,1e+30,1e+30,0.164184268626,0.0,1,0.175966713976,1,0.133800886265,1,1,1,1,1.0,0.0
19,024cf43497fd7381df6254888670f84bwbbam,1.99e+11,2.01184210526e+11,0.205392077324,0.0,1,0.527900141928,1,0.385234988775,3,3,2,3,1.5,0.0
20,026819504b59bc4eefb9963d5fe4271aql15u,1.76868421053e+12,2.14842105263e+13,0.140973465733,0.0,2,0.183431096905,1,0.470532864982,1,3,1,4,2.0,0.0
21,02cfc97e8fded77671e71e1951723d5fwz6a4,9.10657894737e+12,9.10657894737e+12,0.328368537252,0.378166435973,1,0.351933427952,1,0.668099280112,1,2,1,2,1.0,0.0
22,0318e0a173f7c65db40116b903884c854x258,0.0,7052900523.96,880.881023898,1590.65462049,1701,2158.09281506,1,2017.828767,611,6778,122,10960,34.1433021807,0.0
23,031da7aea2d4b75ac8ecba4825bc1318yki1d,2368421053.0,6.82118421053e+11,0.407433990364,0.378166435973,8,0.425188866092,1,1.07667718009,8,8,3,9,1.28571428571,0.0
24,03244a553a252dcc3a3037f0371c8d33fmpd1,89789473684.0,3.225e+11,0.137620362422,0.189083217986,3,0.187778686934,1,0.26760177253,3,3,1,3,1.0,0.0
25,0353aa9e97bd46119c90b8892f99982esfem3,421052631.0,4.46043504716e+11,20.3463674505,12.6685756051,46,10.8911638422,1,25.4122013751,67,85,10,174,2.0,0.0
26,036a4050a5dd65e70f0f613ec2e38a74re026,6.93210526316e+11,6.93210526316e+11,0.828817612982,0.0,2,0.393812557492,1,0.26760177253,2,2,1,2,1.0,0.0
27,037d9f10da403d8d5f94b6e2957a3702f6x07,0.0,1057486740.11,1411.44799571,478.947791159,6609,591.611145292,1,2268.95849812,786,5128,45,12901,21.7922297297,0.0
28,0381a69b7a061e9ace2798fd48f1f537mgq57,1e+30,1e+30,0.0587322695035,0.0,1,0.0472432073435,1,0.17728060501,1,1,1,1,1.0,0.0
29,03a1e81cb7bcd15014489a6f752c9d5b7pvel,0.0,2.87215970962e+11,3.1658068189,4.34891401369,6,5.27900141928,1,5.26473921994,4,4,3,30,2.0,0.0
30,03aafab9868455b78f0723eda86698ba9v9rm,0.0,7174272804.98,653.812020064,344.131456735,190,1896.2173098,1,1460.98317435,396,4720,77,10776,29.0458221024,0.0
31,03e884d3e7e3356608187d2345e4693fyt29x,25210526315.0,1.19293779904e+12,0.870479381728,0.945416089932,2,0.550293290714,1,1.76998345886,9,11,2,12,1.33333333333,0.0
32,041d869edcadf595b90e3b5248903183pn754,0.0,77864547962.6,236.219448158,189.381469024,3,174.734946978,1,126.058005287,19,290,13,993,9.64077669903,1.0
33,042780ee9a3730703e35340c575c3cbb7zjwk,105263158.0,1.81935087719e+12,0.94681901286,0.756332871945,1,0.787625114984,1,0.708196541004,4,3,3,4,1.33333333333,0.0
34,0446457fc8e21596799158406f77b14catx8w,1e+30,1e+30,0.0791267266829,0.0,1,0.175966713976,1,0.0852218321098,1,1,1,1,1.0,0.0
35,04636b6c61c80f5325efe61183e8edb01ko20,17368421053.0,1.88852105263e+13,0.237344077811,0.378166435973,3,0.188972829374,1,0.535203545059,3,3,1,4,1.0,0.0
36,047558bebab9292a5d4c85d6ee768784j2hdd,0.0,3479609290.6,1935.48633117,1327.93143992,3259,1390.62636254,1,2848.3403885,650,12517,80,22217,96.1774891775,0.0
37,0496c24a6a7f593f28bf7896350e946advl6i,3105263158.0,8.13384868421e+11,1.47445468677,0.567249653959,9,2.99143413759,1,1.46253975202,15,12,1,17,1.21428571429,0.0
38,04c6b750b0552089c87ae03de72289cfcpfmh,4210526316.0,9.81271255061e+11,1.51840572914,1.3235825259,7,2.46353399566,1,1.72197726386,11,13,8,14,1.16666666667,0.0
39,050a3b29ca1818e1f237df8132bc2013bcuxi,2736842105.0,3.23842105263e+11,2.11764089367,3.40349792375,19,7.03866855903,1,3.85449422235,21,36,11,40,1.90476190476,0.0
40,053cefb7e952bd81d7a6db267a121747te7lo,1e+30,1e+30,0.0528823981553,0.189083217986,1,0.175966713976,1,0.290587688014,1,1,1,1,1.0,0.0
41,0547dbd3ecb4a293913f138d60b586fdf4ane,52631579.0,46355128435.4,119.707976949,55.212299652,3,57.8904459514,1,50.5791418955,4,280,41,294,8.90909090909,0.0
42,054b51d059fe981ca8cc4e0d4c49aabb5mck7,0.0,9232143495.19,119.638025687,94.1634425572,549,92.2619281804,1,90.8229244897,278,569,31,1474,5.9918699187,0.0
43,055282b75717345ba6f53d40e9e6d6c56qrzp,0.0,1038511791.21,1669.4055519,1216.96451149,5658,2585.97015877,1,1619.15638338,920,7486,129,13133,37.9566473988,0.0
44,055eb52087e0080b8ebca74be4f823f5c819l,1e+30,1e+30,0.045935152672,0.189083217986,1,0.175966713976,1,0.204004060722,1,1,1,1,1.0,0.0
45,0565a780f2c5b46837bbe9739ef15ea92fdu0,0.0,11877315239.3,98.7896121521,59.3721304477,102,202.185754358,1,145.482276598,229,871,48,1149,5.66009852217,0.0
46,0580f2e77b4c0dd3b5cda8a1641cb9fenmo0i,0.0,9.0699504644e+11,5.02457675727,13.992158131,12,16.9339399722,1,10.1326242671,30,45,2,86,2.0,0.0
47,0589cf78c4bece729f0ac620557210e13no3n,54157894737.0,2.84186939571e+12,2.31239761535,2.64716505181,12,4.92706799132,1,7.65485892265,18,20,4,28,28.0,0.0
48,058a4e0ac0a20f504cc9c6aae2a896e6too9v,1.59384210526e+12,3.78518421053e+12,0.0967450584615,0.567249653959,1,0.527900141928,1,0.352899648736,3,3,1,3,3.0,0.0
49,05a07a27e235d01fe480ea6ac73b8838jq28x,526315790.0,98416857360.8,19.3476435258,1.3235825259,28,24.4593732426,1,17.1577748212,64,118,10,139,2.04411764706,0.0
50,05ae7ea9549ae298bbbc8002b4229392e0ilf,4.162e+12,2.49095614035e+13,0.804564331505,0.189083217986,4,0.703866855903,1,1.08824043016,2,4,2,4,4.0,0.0
51,05c6b93bf8f083b2d0a03ffc0fc3524ba8fi5,4578947368.0,5.00918128655e+11,4.59265806004,0.0,3,1.75966713976,1,1.66127537219,1,1,1,10,10.0,0.0
52,05c9fe8f8852ea069a93dfe39fc0571er9mdt,421052631.0,8.56212280702e+11,5.78965627411,3.97074757771,62,16.0129709718,1,12.4947554009,48,76,14,91,1.37878787879,0.0
53,060ac64ff78ae62e9bc697192cebea333760p,0.0,63665394055.1,28.9349020407,143.723159515,5,8.89640819988,1,28.1645967318,6,9,4,194,8.08333333333,1.0
54,061690ceb6004807b7906968bf382dfcbve7y,0.0,1.79106117963e+11,109.725902813,81.6839501701,1,76.0176204376,1,84.0894953656,8,154,4,432,11.6756756757,1.0
55,067ff22ebf0d33fe0deedc816d75973865jo7,0.0,2.05920332747e+11,26.1661593572,11.7231595152,63,64.9790719862,1,49.2919839408,66,166,19,330,5.68965517241,0.0
56,068450aafae2a6e390e35925d964290cdliqf,1e+30,1e+30,0.164184268626,0.189083217986,1,0.0458577742262,1,0.334049640056,1,1,1,1,1.0,0.0
57,069d020584a0e8c61e622321d4c43881j7pl3,3.5847368421e+11,2.39963157895e+12,0.68964769107,0.189083217986,4,0.703866855903,1,0.535203545059,4,4,1,4,1.0,0.0
58,069d251f2fc19102924468ab38349d5eou7ab,1631578947.0,1.00771052632e+12,0.857948109064,2.26899861584,2,2.5597816237,1,1.52923181119,3,8,1,13,1.3,0.0
59,06a58d4af0fe7ee15324b0e921e8de1260vef,0.0,8057157433.92,1396.41391367,480.365837207,493,1688.4006206,1,1717.85293136,762,5817,127,9595,18.4165067179,0.0
60,06b2d71c26ef3b6e29277f761cd0db90wuwjo,1e+30,1e+30,0.0131926121372,0.0,1,0.175966713976,1,0.0845751461603,1,1,1,1,1.0,0.0
61,06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,4.51994736842e+12,4.51994736842e+12,0.14736229861,0.0,2,0.351933427952,1,0.26760177253,2,2,1,2,1.0,0.0
62,06ddad46112881df154e3bda0e90fe880r57n,0.0,99282296.6534,19.4834954116,177.0,5,34.8524113381,1,51.2349021241,1,177,1,177,29.5,1.0
63,07012e0507b4281d430b93ddcd96cae66und7,27157894737.0,7.06811145511e+11,1.63638328266,1.13449930792,9,3.16740085157,1,2.06536742143,15,17,2,18,1.38461538462,0.0
64,074daf9a99b01591cb0637cb95c32600roriz,684210526.0,2.3745645933e+11,6.79877222205,3.78166435973,37,3.50520215611,1,8.73584292087,34,45,10,56,1.6,0.0
65,078e06b3288cf8f18ab7ed44b245fc56nbyfv,52631579.0,2.77155263158e+11,9.19833058367,7.56332871945,2,7.21463527301,1,6.06626148622,8,14,4,41,1.86363636364,0.0
66,0817731a4d2e319f6f771da3f522b8bfv6njs,52631579.0,57093698371.5,52.1403784204,42.3546408289,1,44.1070064391,1,24.2308440685,15,92,10,224,9.73913043478,0.0
67,0825d381aa09d1d0c47c77c372f07acbe02ky,315789473.0,81695581546.5,16.7611632687,11.3449930792,18,10.2026419901,1,22.4219978872,84,126,19,163,2.50769230769,0.0
68,08353687608279ddd83e4d36fadd1cd8ritj3,1.54778947368e+12,2.47403508772e+12,0.731286193914,0.189083217986,4,0.787625114984,1,0.894083727753,4,4,2,4,4.0,0.0
69,08515611e73803dc6d8c562b8514dfb5qi3z9,0.0,46052275960.2,28.3971254533,26.2825673001,47,18.5900900065,1,37.459555345,125,210,27,297,4.36764705882,0.0
70,0853bead89b03dd38a04d84f4312da7dukglz,1.95763157895e+12,3.47829824561e+12,0.134689365657,0.756332871945,1,0.787625114984,1,0.486700535001,3,4,2,4,1.0,0.0
71,0870fb7e5701f3ba56762b03e157afdc1yw7u,0.0,24081073419.6,127.638699427,15.8829903109,241,109.87370354,1,174.515547227,98,165,16,558,10.1454545455,0.0
72,08981037e7a6c9032716ff25b15c9de25p63s,0.0,25732409419.0,262.210398924,275.683331824,941,528.779975497,1,614.520646645,235,1034,11,3005,10.770609319,0.0
73,08a588ebf7b98f44f8fc695d02adfa25x0amy,1052631579.0,3.57236842106e+11,1.71693150361,0.0,2,0.527900141928,1,0.258095250357,2,2,1,3,1.0,0.0
74,08c39ef7252995e0749f7927249b8dcb1d3xh,1e+30,1e+30,0.074078639221,0.0,1,0.196906278746,1,0.133800886265,1,1,1,1,1.0,0.0
75,090c77ac89c7063f0d0ce064ce3cb3afllf5h,1e+30,1e+30,0.0654237590763,0.0,1,0.175966713976,1,0.166127537219,1,1,1,1,1.0,0.0
76,0918eedd8324da06abe5600f058480dc75nfo,894736842.0,6.74105263158e+11,1.64099216077,2.07991539785,9,3.69530099349,1,3.29653802951,14,19,7,21,5.25,0.0
77,098bfc9c440f9ba9e6371f774ec6a36fa0sq6,1.58263157895e+11,3.31092982456e+12,0.425568297011,0.189083217986,4,0.188972829374,1,0.468449108705,4,4,2,4,1.33333333333,0.0
78,09d71d3e6a6871a7598dc2764c5bb4ffkz6mc,894736842.0,6.8443e+12,2.14556170359,2.07991539785,1,2.16596906621,1,1.24862922855,4,5,5,11,1.22222222222,0.0
79,0a09adcd35b5f26d75f251006affc747drfu4,1e+30,1e+30,0.0673661555017,0.0,1,0.175966713976,1,0.133800886265,1,1,1,1,1.0,0.0
80,0a43de0ab0a7525fec59ef4bc1dda7a2z9z69,0.0,18363739537.5,73.8745408941,41.598307957,12,146.301365108,1,98.4938631634,202,533,42,743,3.82989690722,0.0
81,0a6ba32afe4756995db2f5cf2461cddbvj445,2210526316.0,1.75258947368e+12,1.2706619817,0.189083217986,6,0.375557373869,1,0.756458670525,4,4,3,6,2.0,0.0
82,0a7446b63f183a4928ae762ed6cd1c4b894qz,52631579.0,92478978884.3,135.326324318,46.7035548426,257,147.108172884,1,139.254893969,206,610,47,836,3.2030651341,0.0
83,0a92c4fa2bcdc8e952546d236b322053o5wbk,1.42736842105e+11,1.82426315789e+12,0.461372942083,0.189083217986,3,0.396011022176,1,0.828917728897,4,4,2,4,1.0,0.0
84,0a9c5e1f261c937c09817ea2d5e949f34v8oe,157894737.0,5.25105263158e+11,4.88916702635,3.97074757771,1,4.13503185367,1,2.53074786107,5,19,5,21,3.0,0.0
85,0a9d614009139236f198ddb4759a498cen5ix,10473684210.0,2.1159754386e+13,0.513359318072,0.378166435973,3,0.250371582579,1,0.475964556571,3,4,2,4,1.0,0.0
86,0ad17aa9111f657d71cd3005599afc24fd44y,0.0,1650562499.2,773.058525425,6021.40928424,1906,1454.01295758,1,1095.44232268,564,6110,85,8263,14.5219683656,1.0
87,0ae09b09369c76737cba059d192451001nwce,1e+30,1e+30,0.164184268626,0.189083217986,1,0.0990027555439,1,0.334049640056,1,1,1,1,1.0,0.0
88,0af208c4fc46ef9236052ff495016326zxoqf,2.38457894737e+12,2.38457894737e+12,0.162162162162,0.378166435973,1,0.393812557492,1,0.00715349721855,1,1,1,2,2.0,0.0
89,0b3d5f829d18ba30d967fceecb58821c3oeqa,0.0,32915166057.5,168.729086777,273.603416426,100,110.927050843,1,401.610658259,405,1007,58,2348,9.28063241107,0.0
90,0b450f2827ec670da34be66ec2a520213xcuk,2.82984210526e+12,2.82984210526e+12,0.091870305344,0.378166435973,1,0.351933427952,1,0.0261720067454,1,2,1,2,2.0,0.0
91,0b68888358a492884e3885bcd73ea63bhxidk,9.71542105263e+12,2.47581929825e+13,1.13462757416,0.189083217986,3,0.787625114984,1,1.70938490512,2,4,3,4,2.0,0.0
92,0bf6e0e5184b3599bbb4ba1fb3a43549ije34,1e+30,1e+30,0.13231244543,0.0,1,0.175966713976,1,0.00720535254761,1,1,1,1,1.0,0.0
93,0c55920fb607fef2d33324f33565758a6e4dj,5368421052.0,3.51709141274e+11,2.82508081598,2.8362482698,7,7.6793448711,1,4.62421929522,27,37,10,39,1.77272727273,0.0
94,0c57d8eaa2708b768416ca91dd8daa2cqbl31,3052631579.0,3.15722807018e+12,5.04884629868,4.72708044966,1,4.92265696865,1,2.46605136377,8,11,5,25,1.66666666667,0.0
95,0c5992f18244e24d2d7b4708a512378729eev,0.0,5.17068347953e+11,92.685202639,22.5009029404,2,6.6493772628,1,17.6515508959,1,7,7,145,3.37209302326,0.0
96,0cbd01c9e8cc800aabd3b3e4c618f9caktfgp,0.0,6975946775.84,220.277439957,71.8516228348,784,122.369110986,1,261.764407727,245,1280,39,1955,18.4433962264,0.0
97,0cca10034c58287ee6fbec14a3f96c3546sdh,42894736843.0,8.51056140351e+12,1.34709668547,0.756332871945,7,1.75966713976,1,1.03125053058,8,10,5,10,10.0,0.0
98,0d0b3d6dc27d0f8eed70971f8c6bec1bdrs0f,105263157.0,7.79632110579e+11,8.80745383005,12.8576588231,21,6.25928956448,1,13.8188677191,29,66,6,100,3.22580645161,0.0
99,0d0d43ac593a891ce100d8202d3d72c3xsma8,1.74842105263e+11,7.52613684211e+12,1.49642837545,1.70174896188,3,1.93563385373,1,2.81069090924,5,11,3,11,1.83333333333,0.0
100,0d1815382b08885d76c671ab600133adeyp5e,0.0,3502784310.55,455.872120922,194.944797744,681,243.799328536,1,545.481318966,416,2749,73,3895,16.5744680851,0.0
101,0d9f78a6084bf15f42210bfeba95621255c89,24157894737.0,1.3908e+13,1.2159593989,0.0,5,3.27112149533,1,1.13840297956,5,6,2,6,1.0,0.0
102,0daf4f87eb695e2a84e4156154209e09k6ga5,1e+30,1e+30,0.164184268626,0.189083217986,1,0.175966713976,1,0.334049640056,1,1,1,1,1.0,0.0
103,0e373556d3bf588a1bb2ca6354120cf2dmvjs,1.04173684210e+12,1.82052631579e+12,0.164209187637,0.0,2,0.187778686934,1,0.183668555857,3,3,2,3,1.0,0.0
104,0e5ec5baf2e15afdbf5212d8461e1ad9h3kr0,894736842.0,2.92252631579e+11,4.49586230798,3.02533148778,23,8.09446884289,1,3.16959729331,32,41,16,46,1.53333333333,0.0
105,0e66933c924764a59760aaae5368e7d1e0s88,1947368422.0,2.42148496241e+11,3.07944775163,4.1598307957,33,10.0301026966,1,7.1361993052,34,48,11,57,1.54054054054,0.0
106,0e8212e286ee36da8945c2480e366417xa22x,3.61489473684e+12,5.49118421053e+12,0.606363362319,0.567249653959,1,0.590718836238,1,0.258095250357,3,3,1,3,3.0,0.0
107,0ea26a4028ffc16d9a8631d43e1b92105auao,0.0,1.975137779e+11,53.7045616505,67.0187925005,17,75.4151047598,1,72.5270397654,45,321,1,383,38.3,0.0
108,0eeffc5039b27a4dc2e420eca75b1fa55rv5q,1210526316.0,3.35027631579e+11,4.88561000517,2.26899861584,19,7.21463527301,1,8.3641664896,26,12,1,41,2.27777777778,0.0
109,0ef9be4eb3b6a03ac2945522964b242ap09cy,1157894737.0,1.33069056261e+12,3.89337740717,3.97074757771,38,10.3820361246,1,8.36921289249,37,50,6,59,1.55263157895,0.0
110,0f33df2513a519a35c8b3dcf1d7c7416jjjzk,0.0,9644889516.37,489.887662103,515.062685795,1404,501.744651488,1,690.305800089,290,5625,4,8016,71.5714285714,0.0
111,0f3ee77a46dd5a09ad20b7c3e54ec614sbpvb,105263158.0,63988777089.8,13.0663892065,68.700034466,95,24.1074398147,1,16.5059231597,50,76,12,137,1.90277777778,1.0
112,0f4669e36b2e721dfe27f8633b277a1575erw,1e+30,1e+30,0.164184268626,0.189083217986,1,0.0472432073435,1,0.334049640056,1,1,1,1,1.0,0.0
113,0f8cb1baa83fefac10f885f79149bf13kn4nw,0.0,9943831455.92,474.418674102,211.016871273,34,241.074398147,1,371.642895971,312,1104,49,1370,4.07738095238,0.0
114,0fa357965f89388d8e7eb8cbc3b85c6bnnro4,1157894737.0,1.05656600518e+11,7.7026897323,8.50874480939,11,7.69892616431,1,7.81991366154,51,87,6,123,2.67391304348,0.0
115,100d406b638e84e2da7c31b03100b874qiay2,52631579.0,2.48465730242e+11,55.437149137,15.3157406569,199,54.9016147605,1,43.180552787,115,231,27,312,2.18181818182,0.0
116,10383b390780e7b4b03dc32c94b4973f66wou,56421052632.0,2.05840789474e+12,1.47105038218,0.378166435973,3,0.495013777719,1,1.14579842321,3,4,3,5,1.0,0.0
117,1053ead33eb1a5db7c36c979a455348abh9ns,8.55578947368e+11,8.55578947368e+11,0.36988987781,0.378166435973,1,0.351933427952,1,0.238887560217,1,2,1,2,1.0,0.0
118,106f4ed8e9b727f8d94a1cd57e882a095pteo,2.67157894737e+11,1.34347894737e+13,0.939909347392,0.0,6,1.05580028386,1,0.705799297472,6,6,1,6,1.5,0.0
119,10b431aa15b56084d32fe1ef123c4305wo1nl,1.15578947368e+11,4.00384210526e+12,0.835295554429,0.756332871945,1,0.787625114984,1,0.580970004212,4,4,3,4,1.0,0.0
120,10c1e1164e3f8298df9a35c891f67babiycsr,2.17894736842e+11,1.00743859649e+12,0.464844403652,0.945416089932,5,0.990027555439,1,0.743138397293,6,10,5,10,1.11111111111,0.0
121,10f01aff2fc23653ca7ea1d74248357a889wv,1210526316.0,3.37e+12,2.19947559326,1.70174896188,7,4.04723442144,1,2.75830417386,20,22,4,23,1.27777777778,0.0
122,10f1460119f9e42bcccd0f68ef59cc830pwtq,1736842105.0,1.96149122807e+12,3.76758040148,2.8362482698,16,2.50371582579,1,5.94509600605,24,31,13,40,1.21212121212,0.0
123,110d2e689da119388dcb6e235749b787ni298,4.42305263158e+12,4.42305263158e+12,0.111272549904,0.0,2,0.351933427952,1,0.237076996354,2,2,2,2,1.0,0.0
124,11a38554244f3c14de043aaf52345c35jjqvo,52631579.0,47397414589.1,17.752089331,24.9589847742,87,13.1153234287,1,24.6147222699,96,226,5,286,11.0,0.0
125,11b1859aaf7fa93818baa76007cf7207d8uwy,1.67994736842e+12,1.67994736842e+12,0.421991633903,0.0,2,0.351933427952,1,0.252159287338,2,2,2,2,1.0,0.0
126,11d5f6925da5809e2d447788b85d6253jj8fu,0.0,14228690168.3,888.197256938,320.306971269,1924,340.129794934,1,836.214005754,443,3677,52,5434,13.1573849879,0.0
127,11d7f0a5076649b229c301a22537834e1ehwg,0.0,68031328320.8,89.5012705334,69.771707437,500,199.722220363,1,158.677156944,315,589,82,1135,4.670781893,0.0
128,11e47dc08d7fa4d1a1953b5868892f72qvlho,1263157895.0,40830409356.7,3.43700787402,0.378166435973,2,1.96906278746,1,3.88006331511,1,9,6,10,1.66666666667,0.0
129,120beb4523541f769a2b658cbc41dd57w7im7,368421053.0,1.75851315789e+12,0.28293330497,0.0,2,0.879833569879,1,0.652836761304,2,2,2,5,1.66666666667,0.0
130,120c8b384858420c4e46e354c86f4ca393w0i,0.0,20439004703.7,304.257467368,267.552753451,151,178.721053381,1,534.335579967,475,2353,83,3783,10.114973262,0.0
131,121578435bf4136746cd2a80f1990e07cv1px,210526316.0,8.38019883041e+11,10.2214929648,3.40349792375,58,16.0129709718,1,11.4337303615,34,51,7,91,3.03333333333,0.0
132,124727083cd4159b40ff8d4b36a89340l6fga,1e+30,1e+30,0.054620405359,0.0,1,0.0458577742262,1,0.117633216245,1,1,1,1,1.0,0.0
133,1275d8a6a3b2ae9d24b50997397c254cpuuzv,0.0,1.20380718151e+11,62.4019146418,5.4834133216,554,113.146597086,1,79.6710605385,140,369,38,643,3.78235294118,0.0
134,1291b98e40353f77928e363d54a13c569bhfb,2947368421.0,17236842105.0,0.137597840563,0.378166435973,2,0.187778686934,1,0.292535607325,3,3,2,3,1.0,0.0
135,12c1b22ede3c23949bf130cc7bac6316ks7fj,5894736842.0,2.78469204927e+11,4.58364835677,2.64716505181,11,3.00445899095,1,4.36981136702,19,36,2,48,2.08695652174,0.0
136,12d6239a92972a35bc990225b3ab33466znm8,4.32868421053e+12,2.86197894737e+13,0.424150006314,0.189083217986,3,0.141729622031,1,0.172703637902,2,2,2,3,1.0,0.0
137,12df4a9cf4eb203909e6763960b79238cb0yg,52631579.0,8.77663157895e+11,3.16171956609,0.756332871945,11,2.81546742361,1,3.74782948954,15,15,7,16,1.14285714286,0.0
138,12fefd74d82d90541872847f199f6324cowi5,526315789.0,2.80279605263e+11,7.10019881308,4.1598307957,21,,1,7.49598659137,28,45,12,49,1.4,0.0
139,13812c0d2c8c474bd62481d932407687o26kg,52631578.0,2.01852087114e+11,6.40122081688,3.78166435973,11,10.3820361246,1,7.9122265716,39,46,12,59,1.59459459459,0.0
140,1395ca662a02245233af951cc7ad8313vk6w0,1263157895.0,1.87079678363e+11,3.84346574072,13.613991695,2,12.8455701202,1,9.51323811327,43,59,20,73,1.65909090909,0.0
141,13c4c826516304555e291d3d91c108b3ytpmj,26526315789.0,4.81778289474e+12,7.6444922123,3.21441470577,1,9.26817757009,1,3.04526762921,2,17,2,17,1.41666666667,0.0
142,13dfda714fb516e1f9f7abb0c927bdc2zmw55,1e+30,1e+30,0.00934579439252,0.189083217986,1,0.0625928956448,1,0.085798816568,1,1,1,1,1.0,0.0
143,142a2545c5c01937b05ac6de9773f9efgx0eb,8315789474.0,8315789474.0,0.158253453366,0.0,2,0.0917155484524,1,0.235266432491,1,1,1,2,2.0,0.0
144,1456b44d8b2b16cd94278137269ceb11ns7wy,22421052632.0,1.09493984962e+12,1.45507075779,0.378166435973,7,1.40773371181,1,1.07040709012,8,8,1,8,1.0,0.0
145,147164a9fe8a6bce381a224e9f13207cc1mdg,1e+30,1e+30,0.0354322527016,0.0,1,0.175966713976,1,0.0354960548953,1,1,1,1,1.0,0.0
146,1476226300a93d22b15253ed7339429a7ijk0,105263158.0,2.03611303986e+11,24.4774079583,54.0778003441,55,,1,44.7006221732,70,92,1,380,2.90076335878,0.0
147,14b2d98230228eab6a6db3efc41660d7kp23s,78736842106.0,1.85907368421e+12,0.228335773708,0.189083217986,6,1.18143767248,1,0.116708254912,2,1,1,6,1.2,0.0
148,14bcf558addd6e6f2818ab2bda7dc679jqoon,1000000000.0,3.65357894737e+11,2.64949009033,1.13449930792,8,2.25334424321,1,3.19268127658,22,32,2,36,2.25,0.0
149,14c69cd7fbc8300876f287520c493fc8xe2o6,368421052.0,5.07686980609e+11,8.68371674432,21.7445700684,8,30.1266606482,1,12.9473862081,56,72,4,153,2.390625,0.0
150,14d4e04d7ed150613974438a4dfd4e85dybq3,0.0,45996927996.0,179.409270548,49.1616366765,67,295.624079479,1,233.432116147,279,1174,50,1680,4.06779661017,0.0
